timestamp,門診大樓_AH_1_3冰水流量,門診大樓_AH_1_3溫度1,門診大樓_AH_1_3溫度2,門診大樓_AH_1_3冷凍頓,門診大樓_AH_1_3冰水效率,門診大樓_AH_1_3電壓平均,門診大樓_AH_1_3電流平均,門診大樓_AH_1_3輸出功率,門診大樓_AH_1_3輸出功率千瓦時,門診大樓_AH_1_3 EC_FAN直流電壓,門診大樓_AH_1_3 EC_FAN直流電流,門診大樓_AH_1_3 EC_FAN有效功率,門診大樓_AH_1_3 EC_FAN輸出功率千瓦時
2026-09-05T07:53:00.000+08:00,45.214908599853516,12.689960479736328,9.0419921875,3.9795336723327637,0.26334744691848755,387.20001220703125,1.847000002861023,1.0490000247955322,2543.699951171875,513.28125,2.0289063453674316,1.050551176071167,2623.0
2026-09-05T07:54:00.000+08:00,102.78319549560547,12.882736206054688,9.1181640625,8.516590118408203,0.12340620160102844,386.8999938964844,1.9040000438690186,1.0549999475479126,2543.699951171875,513.28125,2.0289063453674316,1.0498782396316528,2623.0
2026-09-05T07:55:00.000+08:00,60.89084243774414,12.603710174560547,9.2158203125,4.372844696044922,0.23988962173461914,387.20001220703125,1.88100004196167,1.059000015258789,2543.800048828125,513.28125,2.0289063453674316,1.0570111274719238,2623.0
2026-09-05T07:56:00.000+08:00,107.62416076660156,12.578521728515625,9.28515625,8.038850784301758,0.13123765587806702,387.3999938964844,1.8539999723434448,1.0540000200271606,2543.800048828125,516.796875,2.0289063453674316,1.054184913635254,2623.0
2026-09-05T07:57:00.000+08:00,113.83194732666016,12.733932495117188,9.284912109375,7.651772499084473,0.13839930295944214,387.29998779296875,1.86899995803833,1.059000015258789,2543.800048828125,513.28125,2.0289063453674316,1.0591644048690796,2623.0
2026-09-05T07:58:00.000+08:00,68.22528076171875,12.746940612792969,9.104248046875,4.458141803741455,0.2364213764667511,387.6000061035156,1.8669999837875366,1.0570000410079956,2543.800048828125,513.28125,2.0289063453674316,1.061586856842041,2623.0
2026-09-05T07:59:00.000+08:00,121.97879791259766,12.817619323730469,9.145751953125,8.263447761535645,0.12815473973751068,386.29998779296875,1.9079999923706055,1.0499999523162842,2543.800048828125,513.28125,2.0289063453674316,1.0478595495224,2623.0
2026-09-05T08:00:00.000+08:00,116.48841094970703,12.862117767333984,9.2919921875,8.574231147766113,0.12361810356378555,386.1000061035156,1.9199999570846558,1.0509999990463257,2543.800048828125,513.28125,2.0289063453674316,1.0510895252227783,2623.0
2026-09-05T08:01:00.000+08:00,109.64141845703125,12.720523834228516,9.2294921875,7.987856388092041,0.13144953548908234,387.0,1.8450000286102295,1.0499999523162842,2543.89990234375,513.28125,2.0289063453674316,1.0528390407562256,2623.0
2026-09-05T08:02:00.000+08:00,120.88104248046875,12.652229309082031,9.34765625,8.562691688537598,0.12274178117513657,387.1000061035156,1.8550000190734863,1.0570000410079956,2543.89990234375,513.28125,2.0289063453674316,1.0545886754989624,2623.0
